Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 14, 2019",3631.17,3646.26,3607.7,3616.88,6271044418,63434486052
"Feb 13, 2019",3653.6,3669.75,3617.25,3632.07,6438903823,63694394519
"Feb 12, 2019",3642.75,3668.59,3618.56,3653.53,6480384532,64063755250
"Feb 11, 2019",3695.61,3695.61,3642.29,3648.43,6277056434,63968390250
"Feb 10, 2019",3673.2,3695.04,3640.98,3690.19,6282256903,64694025951
"Feb 09, 2019",3671.59,3679.94,3646.56,3671.2,6158833645,64354732475
"Feb 08, 2019",3401.38,3695.61,3391.02,3666.78,7735623101,64270269953
"Feb 07, 2019",3414.93,3427.95,3394.22,3399.47,5004962683,59578075991
"Feb 06, 2019",3469.09,3469.09,3398.57,3413.77,5482196038,59821158612
"Feb 05, 2019",3454.95,3478.15,3451.94,3466.36,5227549545,60735563490
"Feb 04, 2019",3467.21,3476.22,3442.59,3459.15,5332718886,60603083461
"Feb 03, 2019",3516.14,3521.39,3447.92,3464.01,5043937584,60681847608
"Feb 02, 2019",3484.63,3523.29,3467.57,3521.06,5071623601,61675119055
"Feb 01, 2019",3460.55,3501.95,3431.59,3487.95,5422926707,61088747491
"Jan 31, 2019",3485.41,3504.8,3447.92,3457.79,5831198271,60553903928
"Jan 30, 2019",3443.9,3495.17,3429.39,3486.18,5955112627,61044262622
"Jan 29, 2019",3468.87,3476.07,3400.82,3448.12,5897159493,60371874099
"Jan 28, 2019",3584.28,3586.75,3439.23,3470.45,6908930483,60756570314
"Jan 27, 2019",3604.69,3612.67,3567.25,3583.97,5570752966,62737274093
"Jan 26, 2019",3599.72,3654.93,3593.35,3602.46,5098183235,63054898963
"Jan 25, 2019",3607.39,3612.93,3575.6,3599.77,5265847539,63000985908
"Jan 24, 2019",3584.5,3616.09,3569.09,3600.87,5262869046,63014066012
"Jan 23, 2019",3605.56,3623.07,3565.31,3585.12,5433755649,62731361272
"Jan 22, 2019",3575.08,3620.75,3539.72,3604.58,5313623556,63065139424
"Jan 21, 2019",3600.37,3608.84,3558.54,3576.03,5004347059,62559869612
"Jan 20, 2019",3725.45,3743.39,3583.02,3601.01,5582489560,62990143284
"Jan 19, 2019",3652.38,3758.53,3652.38,3728.57,5955691380,65214103659
"Jan 18, 2019",3677.99,3682.52,3637.08,3657.84,5002961727,63970991867
"Jan 17, 2019",3651.87,3680.14,3621.96,3678.56,5464420383,64327048255
"Jan 16, 2019",3631.51,3685.78,3624.67,3655.01,5394457145,63909348776
"Jan 15, 2019",3704.22,3720.15,3619.95,3630.68,5537192302,63477817959
"Jan 14, 2019",3557.31,3727.84,3552.29,3706.05,5651384490,64789619995
"Jan 13, 2019",3658.87,3674.76,3544.93,3552.95,4681302466,62106461671
"Jan 12, 2019",3686.97,3698.98,3653.81,3661.3,4778170883,63994140882
"Jan 11, 2019",3674.02,3713.88,3653.07,3687.37,5538712865,64443301117
"Jan 10, 2019",4034.41,4064.07,3659.17,3678.92,6874143796,64288932886
"Jan 09, 2019",4031.55,4068.4,4022.66,4035.3,5115905225,70508733459
"Jan 08, 2019",4028.47,4109.02,3996.96,4030.85,5306593305,70422743854
"Jan 07, 2019",4078.59,4092.61,4020.89,4025.25,5228625637,70316305580
"Jan 06, 2019",3836.52,4093.3,3826.51,4076.63,5597027440,71206795853
"Jan 05, 2019",3851.97,3904.9,3836.9,3845.19,5137609824,67157570935
"Jan 04, 2019",3832.04,3865.93,3783.85,3857.72,4847965467,67368333500
"Jan 03, 2019",3931.05,3935.69,3826.22,3836.74,4530215219,66994920903
"Jan 02, 2019",3849.22,3947.98,3817.41,3943.41,5244856836,68849856732
"Jan 01, 2019",3746.71,3850.91,3707.23,3843.52,4324200990,67098634181
"Dec 31, 2018",3866.84,3868.74,3725.87,3742.7,4661840806,65331499158
"Dec 30, 2018",3822.38,3901.91,3797.22,3865.95,4770578575,67475512827
"Dec 29, 2018",3932.49,3963.76,3820.41,3820.41,4991655917,66672244158
"Dec 28, 2018",3653.13,3956.14,3642.63,3923.92,5631554348,68471837969
"Dec 27, 2018",3854.69,3874.42,3645.45,3654.83,5130222366,63768757101
"Dec 26, 2018",3819.67,3893.36,3769.86,3857.3,5326547918,67292819465
"Dec 25, 2018",4081.03,4089.56,3760.02,3815.49,6158207293,66556033172
"Dec 24, 2018",4000.33,4271.79,4000.33,4078.6,7240968501,71137548589
"Dec 23, 2018",4020.99,4085.72,3976.41,3998.98,6151275490,69741217417
"Dec 22, 2018",3898.08,4014.18,3855.74,4014.18,5605823233,69997508295
"Dec 21, 2018",4133.7,4198.43,3850.95,3896.54,7206015706,67937650255
"Dec 20, 2018",3742.2,4191.23,3728.97,4134.44,8927129279,72078243771
"Dec 19, 2018",3706.82,3949.32,3687.23,3745.95,6810689119,65299132785
"Dec 18, 2018",3544.76,3701.35,3487.17,3696.06,5911325473,64422587801
"Dec 17, 2018",3253.12,3597.92,3253.12,3545.86,5409247918,61798926687
"Dec 16, 2018",3236.27,3305.75,3233.82,3252.84,3744248994,56685436644
"Dec 15, 2018",3244,3275.38,3191.3,3236.76,3551763561,56400691425
"Dec 14, 2018",3311.75,3329.56,3206.54,3242.48,4372763663,56494379457
"Dec 13, 2018",3487.88,3489.74,3298.13,3313.68,4343372456,57728688216
"Dec 12, 2018",3421.46,3534.23,3413.48,3486.95,4139364829,60741625426
"Dec 11, 2018",3497.55,3513.18,3392.25,3424.59,4696765188,59650201102
"Dec 10, 2018",3612.05,3647.33,3470.14,3502.66,5020968740,61004445982
"Dec 09, 2018",3473.23,3685.31,3469.09,3614.23,4947372847,62942160928
"Dec 08, 2018",3421.91,3506.04,3350.65,3476.11,5305024497,60531278392
"Dec 07, 2018",3512.59,3512.59,3280.23,3419.94,6835615448,59547645578
"Dec 06, 2018",3754.07,3874.97,3521.1,3521.1,5878333109,61303965508
"Dec 05, 2018",3958.89,3969.54,3753.99,3753.99,5302481574,65352496336
"Dec 04, 2018",3886.29,4075.63,3832.75,3956.89,5028069239,68878292608
"Dec 03, 2018",4147.32,4155.98,3840.45,3894.13,5089570994,67779050170
"Dec 02, 2018",4200.73,4301.52,4110.98,4139.88,5262697895,72050487506
"Dec 01, 2018",4024.46,4309.38,3969.71,4214.67,5375314093,73346194969
"Nov 30, 2018",4289.09,4322.98,3942.82,4017.27,6048016717,69904637061
"Nov 29, 2018",4269,4413.02,4145.77,4278.85,6503347767,74451016927
"Nov 28, 2018",3822.47,4385.9,3822.47,4257.42,7280280000,74072560088
"Nov 27, 2018",3765.95,3862.96,3661.01,3820.72,5998720000,66468970322
"Nov 26, 2018",4015.07,4107.14,3643.92,3779.13,6476900000,65739289046
"Nov 25, 2018",3880.78,4120.87,3585.06,4009.97,6825640000,69749265801
"Nov 24, 2018",4347.69,4413.09,3795.16,3880.76,4679500000,67495633205
"Nov 23, 2018",4360.7,4396.42,4195.68,4347.11,4871490000,75598851166
"Nov 22, 2018",4611.57,4629.64,4365.64,4365.94,4569370000,75919439809
"Nov 21, 2018",4465.54,4675.73,4343.98,4602.17,6120120000,80020171047
"Nov 20, 2018",4863.93,4951.61,4272.11,4451.87,8428290000,77401044320
"Nov 19, 2018",5620.78,5620.78,4842.91,4871.49,7039560000,84688539692
"Nov 18, 2018",5559.74,5653.61,5559.74,5623.54,4159680000,97753714643
"Nov 17, 2018",5578.58,5578.58,5519.56,5554.33,4303150000,96542098114
"Nov 16, 2018",5645.32,5657.02,5498.94,5575.55,5279320000,96900828780
"Nov 15, 2018",5736.15,5774.82,5358.38,5648.03,7032140000,98151606541
"Nov 14, 2018",6351.24,6371.55,5544.09,5738.35,7398940000,99712077259
"Nov 13, 2018",6373.19,6395.27,6342.67,6359.49,4503800000,110494466204
"Nov 12, 2018",6411.76,6434.21,6360.47,6371.27,4295770000,110689666528
"Nov 11, 2018",6413.63,6423.25,6350.17,6411.27,3939060000,111373453740
"Nov 10, 2018",6386.13,6437.28,6385.31,6409.22,3705320000,111326145314
"Nov 09, 2018",6442.6,6456.46,6373.37,6385.62,4346820000,110905767441
"Nov 08, 2018",6522.27,6536.92,6438.53,6453.72,4665260000,112078367037
"Nov 07, 2018",6468.5,6552.16,6468.31,6530.14,4941260000,113395632955
"Nov 06, 2018",6433.38,6463.55,6408.16,6461.01,4700040000,112095603776
"Nov 05, 2018",6363.62,6480.59,6363.62,6419.66,4174800000,111456211022
"Nov 04, 2018",6365.47,6388.63,6294.57,6376.13,4390020000,110689215104
"Nov 03, 2018",6387.24,6400.07,6342.37,6361.26,3658640000,110421212888
"Nov 02, 2018",6378.92,6396.86,6327.38,6388.44,4234870000,110880236966
"Nov 01, 2018",6318.14,6547.14,6311.83,6377.78,3789400000,110683820788
"Oct 31, 2018",6336.99,6349.16,6316.88,6317.61,4191240000,109627117226
"Oct 30, 2018",6337.04,6364.99,6310.14,6334.27,3781100000,109903543419
"Oct 29, 2018",6492.35,6503.6,6306.99,6332.63,4199910000,109862898081
"Oct 28, 2018",6482.66,6502.28,6447.91,6486.39,3445190000,112518434372
"Oct 27, 2018",6480.84,6507.41,6453.53,6480.38,3393250000,112403001148
"Oct 26, 2018",6468.44,6498.29,6449.61,6474.75,3306050000,112294341019
"Oct 25, 2018",6484.65,6504.65,6447.03,6476.29,3230550000,112309554478
"Oct 24, 2018",6478.89,6521.99,6468.86,6495.84,3424670000,112637293966
"Oct 23, 2018",6472.36,6506.01,6451.27,6475.74,3716150000,112279779884
"Oct 22, 2018",6486.05,6543.8,6462.98,6487.16,3672860000,112465213723
"Oct 21, 2018",6490.09,6556.38,6476,6482.35,3253610000,112369106369
"Oct 20, 2018",6460.92,6497.72,6449,6489.19,3379130000,112476559221
"Oct 19, 2018",6478.07,6493.68,6445.31,6465.41,3578870000,112052990522
"Oct 18, 2018",6542.33,6567.54,6450.04,6476.71,3924080000,112237252159
"Oct 17, 2018",6590.52,6601.21,6517.45,6544.43,4088420000,113399343801
"Oct 16, 2018",6601.41,6673.59,6571.37,6596.11,4074800000,114283707152
"Oct 15, 2018",6292.64,6965.06,6258.68,6596.54,7370770000,114280022340
"Oct 14, 2018",6288.49,6363.21,6280.15,6290.93,3085320000,108972590373
"Oct 13, 2018",6278.08,6308.51,6259.81,6285.99,3064030000,108878136724
"Oct 12, 2018",6239.25,6328.5,6236.47,6274.58,3783500000,108669526315
"Oct 11, 2018",6586.74,6586.74,6243.74,6256.24,5181640000,108341572839
"Oct 10, 2018",6640.29,6640.29,6538.96,6585.53,3787650000,114030835912
"Oct 09, 2018",6653.08,6661.41,6606.94,6642.64,3580810000,115007759484
"Oct 08, 2018",6600.19,6675.06,6576.04,6652.23,3979460000,115162906843
"Oct 07, 2018",6590.68,6641.49,6557.04,6602.95,3306630000,114298880311
"Oct 06, 2018",6622.45,6628.54,6577.8,6588.31,3259740000,114033598927
"Oct 05, 2018",6574.15,6623.62,6557.41,6622.48,3671500000,114614764674
"Oct 04, 2018",6497.91,6603.31,6497.91,6576.69,3838410000,113811343543
"Oct 03, 2018",6553.86,6571.46,6454.03,6502.59,3887310000,112516993837
"Oct 02, 2018",6593.24,6611.84,6537.9,6556.1,3979260000,113431019760
"Oct 01, 2018",6619.85,6653.3,6549.08,6589.62,4000970000,113999846113
"Sep 30, 2018",6604.71,6643.78,6566.54,6625.56,4002280000,114608519470
"Sep 29, 2018",6643.1,6643.1,6511.65,6601.96,4363690000,114186839964
"Sep 28, 2018",6678.75,6785.03,6598.32,6644.13,5014430000,114903584220
"Sep 27, 2018",6495.29,6712.1,6464.95,6676.75,4606810000,115454861756
"Sep 26, 2018",6452.79,6585.91,6397.89,6495,4437300000,112300336125
"Sep 25, 2018",6603.64,6603.64,6381.86,6446.47,4726180000,111450035114
"Sep 24, 2018",6704.77,6713.56,6580.9,6595.41,4177310000,114011060309
"Sep 23, 2018",6715.32,6766.15,6679.42,6710.63,4197500000,115990387532
"Sep 22, 2018",6735.05,6814.56,6616.8,6721.98,4509660000,116173876360
"Sep 21, 2018",6513.87,6794.33,6496.36,6734.95,6531940000,116385068032
"Sep 20, 2018",6398.85,6529.26,6395.95,6519.67,4348110000,112653130183
"Sep 19, 2018",6371.85,6448.46,6208.34,6398.54,4431340000,110547735544
"Sep 18, 2018",6280.91,6384.18,6265.71,6371.3,4180090000,110064685348
"Sep 17, 2018",6514.06,6540.21,6257.52,6281.2,3910780000,108497127334
"Sep 16, 2018",6536.68,6544.33,6460.1,6517.18,3273730000,112562367224
"Sep 15, 2018",6509.4,6561.72,6493.55,6543.2,3216300000,113000324618
"Sep 14, 2018",6515.41,6596.1,6456.17,6512.71,4076220000,112462453186
"Sep 13, 2018",6354.24,6535.41,6354.24,6517.31,4210910000,112530970182
"Sep 12, 2018",6317.01,6363.87,6265.09,6351.8,4064230000,109661521297
"Sep 11, 2018",6331.88,6398.92,6260.21,6321.2,3849910000,109119948884
"Sep 10, 2018",6301.57,6374.98,6292.76,6329.7,3714100000,109255603474
"Sep 09, 2018",6223.38,6446.26,6201.22,6300.86,3671890000,108747090915
"Sep 08, 2018",6460.17,6534.25,6197.52,6225.98,3835060000,107442122871
"Sep 07, 2018",6528.92,6555.29,6396.87,6467.07,4264680000,111590424587
"Sep 06, 2018",6755.14,6755.14,6404.72,6529.17,5523470000,112649565532
"Sep 05, 2018",7361.46,7388.43,6792.83,6792.83,5800460000,117185657641
"Sep 04, 2018",7263,7388.26,7255.44,7361.66,4273640000,126986882925
"Sep 03, 2018",7279.03,7317.94,7208.15,7260.06,4087760000,125222785390
"Sep 02, 2018",7189.58,7306.31,7132.16,7272.72,4329540000,125427780027
"Sep 01, 2018",7044.81,7242.29,7038.05,7193.25,4116050000,124044625438
"Aug 31, 2018",6973.97,7057.17,6920.16,7037.58,4495650000,121346613238
"Aug 30, 2018",7043.76,7072.69,6834.69,6978.23,4463250000,120309828156
"Aug 29, 2018",7091.71,7113.3,6970.82,7047.16,4145880000,121484666374
"Aug 28, 2018",6891.08,7109.56,6882.34,7096.28,4659940000,122319195736
"Aug 27, 2018",6710.8,6884.64,6689.71,6884.64,4019000000,118657885712
"Aug 26, 2018",6754.64,6774.75,6620.75,6707.26,3295500000,115585205491
"Aug 25, 2018",6719.95,6789.63,6700.96,6763.19,3312600000,116534497933
"Aug 24, 2018",6551.52,6719.96,6498.64,6719.96,4097820000,115778358839
"Aug 23, 2018",6371.34,6546.54,6371.34,6534.88,3426180000,112577436411
"Aug 22, 2018",6486.25,6816.79,6310.11,6376.71,4668110000,109840902181
"Aug 21, 2018",6301.07,6500.87,6298.24,6488.76,3377180000,111758100192
"Aug 20, 2018",6500.51,6536.92,6297.93,6308.53,3665100000,108642191682
"Aug 19, 2018",6422.57,6537.98,6361.55,6506.07,3311170000,112031838393
"Aug 18, 2018",6583.43,6617.35,6353.73,6423.76,3984520000,110603014928
"Aug 17, 2018",6340.91,6582.5,6324.97,6580.63,4992990000,113290724406
"Aug 16, 2018",6294.23,6473.5,6276.41,6334.73,4328420000,109045250379
"Aug 15, 2018",6221.42,6588.49,6221.42,6308.52,4895450000,108581773101
"Aug 14, 2018",6287.66,6287.94,5971.05,6199.71,5301700000,106696389129
"Aug 13, 2018",6341.36,6537.05,6225.72,6297.57,4083980000,108369686635
"Aug 12, 2018",6283.65,6409.85,6237.5,6322.69,5665250000,108790259014
"Aug 11, 2018",6185.79,6455.74,6109.03,6295.73,4047850000,108314257212
"Aug 10, 2018",6571.42,6591.26,6124.52,6184.71,4528680000,106390927598
"Aug 09, 2018",6305.56,6625.73,6249.07,6568.23,4267040000,112973963230
"Aug 08, 2018",6746.85,6746.85,6226.22,6305.8,5064430000,108448409560
"Aug 07, 2018",6958.32,7146.56,6748.24,6753.12,4682800000,116128339800
"Aug 06, 2018",7062.94,7166.55,6890.54,6951.8,3925900000,119531508535
"Aug 05, 2018",7031.08,7102.77,6940.7,7068.48,3679110000,121526079384
"Aug 04, 2018",7438.67,7497.49,6984.07,7032.85,4268390000,120899698889
"Aug 03, 2018",7562.14,7562.14,7328.65,7434.39,4627150000,127785826655
"Aug 02, 2018",7634.19,7712.77,7523.44,7567.15,4214110000,130052066760
"Aug 01, 2018",7769.04,7769.04,7504.95,7624.91,4797620000,131030166771
"Jul 31, 2018",8181.2,8181.53,7696.93,7780.44,5287530000,133688476220
"Jul 30, 2018",8221.58,8235.5,7917.5,8180.48,5551400000,140547190784
"Jul 29, 2018",8205.82,8272.26,8141.18,8218.46,4107190016,141185844808
"Jul 28, 2018",8169.06,8222.85,8110.77,8192.15,3988750080,140716560550
"Jul 27, 2018",7950.4,8262.66,7839.76,8165.01,5195879936,140235573607
"Jul 26, 2018",8176.85,8290.33,7878.71,7951.58,4899089920,136553079708
"Jul 25, 2018",8379.66,8416.87,8086.36,8181.39,5845400064,140482950401
"Jul 24, 2018",7716.51,8424.27,7705.5,8424.27,7277689856,144634918474
"Jul 23, 2018",7414.71,7771.5,7409.1,7711.11,5132480000,132375368459
"Jul 22, 2018",7417.8,7537.95,7383.82,7418.49,3695460096,127336615249
"Jul 21, 2018",7352.72,7437.64,7262.41,7419.29,3726609920,127333468174
"Jul 20, 2018",7467.4,7594.67,7323.26,7354.13,4936869888,126202570251
"Jul 19, 2018",7378.2,7494.46,7295.46,7466.86,5111629824,128122730711
"Jul 18, 2018",7315.32,7534.99,7280.47,7370.78,6103410176,126458165406
"Jul 17, 2018",6739.65,7387.24,6684.17,7321.04,5961950208,125588963706
"Jul 16, 2018",6357.01,6741.75,6357.01,6741.75,4725799936,115638203962
"Jul 15, 2018",6272.7,6403.46,6256.51,6359.64,3285459968,109074579938
"Jul 14, 2018",6247.5,6298.19,6212.22,6276.12,2923670016,107631453835
"Jul 13, 2018",6235.03,6310.55,6192.24,6238.05,3805400064,106968440793
"Jul 12, 2018",6396.78,6397.1,6136.42,6228.81,3770170112,106798864820
"Jul 11, 2018",6330.77,6444.96,6330.47,6394.71,3644859904,109631867446
"Jul 10, 2018",6739.21,6767.74,6320.72,6329.95,4052430080,108511009626
"Jul 09, 2018",6775.08,6838.68,6724.34,6741.75,3718129920,115557889495
"Jul 08, 2018",6857.8,6885.91,6747.98,6773.88,3386210048,116097021279
"Jul 07, 2018",6668.71,6863.99,6579.24,6856.93,3961080064,117506606000
"Jul 06, 2018",6638.69,6700.94,6533.55,6673.5,4313959936,114350502582
"Jul 05, 2018",6599.71,6749.54,6546.65,6639.14,4999240192,113748385620
"Jul 04, 2018",6550.87,6771.92,6450.46,6597.55,4176689920,113024522547
"Jul 03, 2018",6596.66,6671.37,6447.75,6529.59,4672309760,111849428104
"Jul 02, 2018",6380.38,6683.86,6305.7,6614.18,4396930048,113288832522
"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82,4788259840,109366024632
"Jun 30, 2018",6214.22,6465.51,6214.22,6404,4543860224,109665618200
"Jun 29, 2018",5898.13,6261.66,5835.75,6218.3,3966230016,106474707240
"Jun 28, 2018",6153.16,6170.41,5873.05,5903.44,3467800064,101072353482
"Jun 27, 2018",6084.4,6180,6052.85,6157.13,3296219904,105403600614
"Jun 26, 2018",6253.55,6290.16,6093.67,6093.67,3279759872,104307939200
"Jun 25, 2018",6171.97,6327.37,6119.68,6249.18,5500810240,106958465208
"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23,4566909952,105646571668
"Jun 23, 2018",6090.1,6224.82,6071.81,6162.48,3431360000,105449276520
"Jun 22, 2018",6737.88,6747.08,6006.6,6083.69,5079810048,104088814967
"Jun 21, 2018",6780.09,6810.94,6715.17,6729.74,3529129984,115129700024
"Jun 20, 2018",6770.76,6821.56,6611.88,6776.55,3888640000,115916357344
"Jun 19, 2018",6742.39,6822.5,6709.92,6769.94,4057029888,115789919278
"Jun 18, 2018",6510.07,6781.14,6446.68,6734.82,4039200000,115176197712
"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27,3104019968,111134754810
"Jun 16, 2018",6455.45,6592.49,6402.29,6550.16,3194170112,111992015616
"Jun 15, 2018",6674.08,6681.08,6433.87,6456.58,3955389952,110378702283
"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35,5138710016,114106009748
"Jun 13, 2018",6596.88,6631.66,6285.63,6349.9,5052349952,108530585830
"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36,4654380032,112491874164
